"caseid","SurveyId","v000","v005","v007","v012","v021","v022","v025","v119","v121","v133","v136","v157","v158","v159","v190","v191","v212","v301","v364","v501","v503","v531","v536","v613","v714","v715","v717","v836"
"       231 6  1","AM2016DHS","AM7",1121528,2016,48,231,14,2,1,1,10,5,2,1,2,1,-109316,18,3,4,3,1,18,3,2,0,NA,0,1
"       231 6  3","AM2016DHS","AM7",1121528,2016,23,231,14,2,1,1,10,5,0,0,2,1,-109316,18,3,4,1,1,17,1,2,0,10,0,1
"       231 6  3","GU2015DHS","GU6",1342681,2015,15,231,10,1,1,0,6,3,0,2,2,3,-23490,NA,3,3,0,NA,14,3,2,0,NA,0,1
"       231 7  1","GU2015DHS","GU6",1342681,2015,37,231,10,1,1,1,9,4,2,2,2,4,81813,20,3,1,3,1,19,3,4,1,9,3,1
"       231 7  2","GU2015DHS","GU6",1342681,2015,17,231,10,1,1,1,11,4,2,2,2,4,81813,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"       231 8  2","GU2015DHS","GU6",1342681,2015,41,231,10,1,1,1,5,5,1,2,2,4,18105,21,3,1,1,1,20,1,3,1,9,9,1
"       231 9  2","AM2016DHS","AM7",1121528,2016,49,231,14,2,1,1,10,6,0,0,2,1,-75892,20,3,4,1,1,18,1,2,0,10,0,1
"       231 9  3","AM2016DHS","AM7",1121528,2016,29,231,14,2,1,1,10,6,0,0,2,1,-75892,27,3,4,1,1,25,3,2,0,10,8,1
"       23110  2","GU2015DHS","GU6",1342681,2015,45,231,10,1,1,1,11,3,2,2,1,4,82694,19,3,1,2,2,17,3,3,1,11,1,2
"       23110  3","GU2015DHS","GU6",1342681,2015,19,231,10,1,1,1,11,3,2,2,1,4,82694,NA,3,3,0,NA,19,3,2,1,NA,1,1
"       23110  4","AM2016DHS","AM7",1121528,2016,41,231,14,2,1,1,10,6,0,0,2,2,-21884,24,3,2,1,1,22,1,3,0,10,0,1
"       23111  3","GU2015DHS","GU6",1342681,2015,39,231,10,1,1,1,12,5,1,0,2,4,67196,NA,3,3,0,NA,37,3,3,1,NA,9,1
"       23111  4","GU2015DHS","GU6",1342681,2015,36,231,10,1,1,1,2,5,2,1,2,4,67196,26,3,3,0,NA,25,3,2,0,NA,0,1
"       23112  2","GU2015DHS","GU6",1342681,2015,34,231,10,1,1,1,6,7,1,1,1,3,-373,20,3,1,1,1,19,1,3,1,9,8,1
"       23113  2","GU2015DHS","GU6",1342681,2015,22,231,10,1,1,1,11,3,2,2,2,4,50251,21,3,1,2,1,21,1,3,0,13,0,1
"       23114  2","AM2016DHS","AM7",1121528,2016,34,231,14,2,1,1,13,4,0,0,2,1,-105361,22,3,1,1,1,21,1,2,0,10,0,1
"       23114  2","GU2015DHS","GU6",1342681,2015,33,231,10,1,1,1,6,2,2,0,2,4,29598,20,3,2,2,2,17,1,5,0,9,0,2
"       23115  2","GU2015DHS","GU6",1342681,2015,28,231,10,1,1,1,15,4,2,2,2,5,174440,22,3,1,1,1,18,1,2,0,18,0,1
"       23116  2","GU2015DHS","GU6",1342681,2015,36,231,10,1,1,1,5,6,0,2,1,4,85736,18,3,1,2,2,17,1,4,0,11,0,2
"       23119  2","AM2016DHS","AM7",1121528,2016,23,231,14,2,1,1,10,3,0,0,2,2,1272,20,3,2,1,1,17,1,2,0,10,0,1
